"dist_km","media_tempo_entrega_min","pedidos"
"963.0","31.4","76"
"964.0","33.7","63"
"965.0","35.3","79"
"966.0","38.8","45"
"967.0","31.4","60"
"968.0","33.8","65"
"969.0","31.5","63"
"971.0","33.9","62"
"972.0","32.9","42"
"973.0","33.7","52"
"974.0","34.2","55"
"975.0","36.9","58"
"976.0","34.1","66"
"977.0","34.7","61"
"978.0","35.7","62"
"979.0","34.1","57"
"981.0","39.5","48"
"982.0","36.2","62"
"983.0","34.1","47"
"984.0","33.2","58"
"985.0","34.9","55"
"986.0","34.2","63"
"987.0","35.8","41"
"988.0","36.8","64"
"989.0","35.3","41"
"991.0","34.1","57"
"992.0","34.9","72"
"993.0","33.7","68"
"994.0","32.2","58"
"995.0","33.7","50"
"996.0","36.6","53"
"997.0","32.9","57"
"998.0","34.6","40"
"999.0","31.8","49"
"1001.0","35.2","54"
"1002.0","31.5","59"
"1003.0","34.1","65"
"1004.0","34.9","48"
"1005.0","32.1","52"
"1006.0","35.4","52"
"1007.0","32.7","54"
"1008.0","33.9","48"
"1009.0","37.6","63"
"1011.0","32.8","51"
"1012.0","35.8","36"
"1013.0","32.8","29"
"1014.0","35.3","73"
"1015.0","33.7","39"
"1016.0","36.4","54"
"1017.0","37.4","48"
"1018.0","37.1","58"
"1019.0","37.0","40"
"1021.0","35.2","48"
"1022.0","34.7","45"
"1023.0","39.1","44"
"1024.0","34.8","51"
"1025.0","35.0","56"
"1026.0","44.6","58"
"1027.0","36.2","51"
"1028.0","33.4","45"
"1029.0","34.8","55"
"1031.0","36.8","45"
"1032.0","37.6","34"
"1033.0","34.2","43"
"1034.0","36.1","57"
"1035.0","36.2","58"
"1036.0","32.5","46"
"1037.0","33.9","52"
"1038.0","33.3","36"
"1039.0","35.5","43"
"1041.0","32.2","58"
"1042.0","35.8","36"
"1043.0","32.2","37"
"1044.0","31.8","46"
"1045.0","33.1","36"
"1046.0","39.3","50"
"1047.0","35.0","53"
"1048.0","40.0","38"
"1049.0","34.6","48"
"1051.0","33.6","46"
"1052.0","36.8","43"
"1053.0","34.9","29"
"1054.0","34.4","49"
"1055.0","36.7","34"
"1056.0","38.5","39"
"1057.0","34.2","29"
"1058.0","35.8","38"
"1059.0","37.2","45"
"1061.0","32.2","31"
"1062.0","33.7","16"
"1063.0","34.1","37"
"1064.0","32.5","33"
"1065.0","38.8","19"
"1066.0","35.1","23"
"1067.0","37.6","18"
"1068.0","35.6","35"
"1069.0","35.7","36"
"1071.0","37.9","34"
"1072.0","39.2","26"
"1073.0","37.5","50"
"1074.0","32.2","27"
"1075.0","40.1","26"
"1076.0","32.8","26"
"1077.0","29.9","32"
"1078.0","35.4","36"
"1079.0","36.5","30"
"1081.0","34.8","31"
"1082.0","33.7","33"
"1083.0","36.9","23"
"1084.0","39.2","35"
"1085.0","33.9","28"
"1086.0","40.2","24"
"1087.0","31.3","27"
"1088.0","33.3","28"
"1089.0","35.5","33"
"1091.0","31.3","19"
"1092.0","30.8","29"
"1093.0","37.2","32"
"1094.0","39.5","44"
"1095.0","35.8","23"
"1096.0","37.7","28"
"1097.0","34.4","29"
"1098.0","37.5","19"
"1099.0","36.0","40"
"1101.0","37.4","30"
"1102.0","42.5","31"
"1103.0","36.8","16"
"1104.0","34.8","31"
"1105.0","34.0","22"
"1106.0","39.6","35"
"1107.0","36.6","24"
"1108.0","38.8","24"
"1109.0","40.3","29"
"1111.0","35.3","34"
"1112.0","41.6","24"
"1113.0","35.6","28"
"1114.0","32.9","18"
"1115.0","35.7","41"
"1116.0","39.0","30"
"1117.0","37.4","21"
"1118.0","30.1","24"
"1119.0","36.6","27"
"1121.0","36.6","26"
"1122.0","35.8","24"
"1123.0","34.1","28"
"1124.0","35.5","29"
"1125.0","34.6","21"
"1126.0","33.7","23"
"1127.0","33.1","26"
"1128.0","48.9","24"
"1129.0","35.9","29"
"1131.0","36.4","21"
"1132.0","35.9","27"
"1133.0","36.5","15"
"1134.0","35.6","25"
"1135.0","38.1","13"
"1136.0","41.7","13"
"1137.0","36.3","18"
"1138.0","36.2","17"
"1139.0","34.5","12"
"1141.0","40.1","18"
"1142.0","36.3","23"
"1143.0","37.7","15"
"1144.0","43.5","14"
"1145.0","35.9","23"
"1146.0","46.5","9"
"1147.0","36.4","19"
"1148.0","41.2","25"
"1149.0","34.1","16"
"1151.0","35.9","22"
"1152.0","34.8","26"
"1153.0","36.4","27"
"1154.0","36.4","17"
"1155.0","41.6","21"
"1156.0","39.8","14"
"1157.0","40.2","13"
"1158.0","36.7","16"
"1159.0","37.5","17"
"1161.0","36.8","18"
"1162.0","36.6","28"
"1163.0","35.1","12"
"1164.0","32.8","26"
"1165.0","43.4","25"
"1166.0","48.3","12"
"1167.0","36.1","28"
"1168.0","33.0","20"
"1169.0","34.2","18"
"1171.0","35.0","16"
"1172.0","31.7","26"
"1173.0","38.1","16"
"1174.0","40.4","20"
"1175.0","36.0","17"
"1176.0","38.1","19"
"1177.0","37.7","18"
"1178.0","37.9","22"
"1179.0","32.4","25"
"1181.0","34.9","10"
"1182.0","34.3","23"
"1183.0","38.1","14"
"1184.0","39.6","28"
"1185.0","40.7","20"
"1186.0","38.7","11"
"1187.0","34.3","15"
"1188.0","37.4","17"
"1189.0","43.9","16"
"1191.0","36.5","7"
"1192.0","41.7","15"
"1193.0","35.1","19"
"1194.0","43.2","19"
"1195.0","40.2","19"
"1196.0","35.5","18"
"1197.0","46.2","15"
"1198.0","35.7","20"
"1199.0","39.7","12"
"1201.0","39.5","14"
"1202.0","37.8","20"
"1203.0","35.2","16"
"1204.0","35.5","28"
"1205.0","46.2","18"
"1206.0","35.1","25"
"1207.0","37.0","17"
"1208.0","35.3","15"
"1209.0","36.2","22"
"1211.0","34.1","14"
"1212.0","42.0","11"
"1213.0","41.8","19"
"1214.0","38.3","14"
"1215.0","43.2","16"
"1216.0","37.2","24"
"1217.0","44.7","18"
"1218.0","36.6","17"
"1219.0","35.5","25"
"1221.0","38.8","14"
"1222.0","43.8","22"
"1223.0","38.3","13"
"1224.0","32.2","16"
"1225.0","38.7","10"
"1226.0","34.5","11"
"1227.0","38.3","9"
"1228.0","35.9","17"
"1229.0","40.5","21"
"1231.0","43.0","12"
"1232.0","36.0","14"
"1233.0","41.5","12"
"1234.0","33.0","9"
"1235.0","41.1","12"
"1236.0","40.9","8"
"1237.0","51.4","13"
"1238.0","31.9","11"
"1239.0","39.7","22"
"1241.0","37.7","14"
"1242.0","34.8","15"
"1243.0","35.4","8"
"1244.0","34.0","8"
"1245.0","33.7","10"
"1246.0","40.9","16"
"1247.0","51.0","7"
"1248.0","30.2","9"
"1249.0","32.5","13"
"1251.0","44.7","8"
"1252.0","32.5","8"
"1253.0","37.5","6"
"1254.0","37.8","12"
"1255.0","34.4","5"
"1256.0","39.6","11"
"1257.0","37.7","14"
"1258.0","28.5","14"
"1259.0","35.8","9"
"1261.0","35.9","9"
"1262.0","39.3","18"
"1263.0","36.1","13"
"1264.0","33.7","12"
"1265.0","37.5","16"
"1266.0","40.7","15"
"1267.0","32.7","19"
"1268.0","39.8","7"
"1269.0","36.4","10"
"1271.0","42.3","8"
"1272.0","44.9","8"
"1273.0","35.8","12"
"1274.0","42.1","10"
"1275.0","46.4","12"
"1276.0","36.9","12"
"1277.0","43.2","13"
"1278.0","34.1","7"
"1279.0","37.3","10"
"1281.0","39.5","11"
"1282.0","42.4","10"
"1283.0","46.8","12"
"1284.0","34.0","10"
"1285.0","29.0","4"
"1286.0","35.9","12"
"1287.0","48.3","11"
"1288.0","58.6","2"
"1289.0","44.2","15"
"1291.0","54.7","8"
"1292.0","41.5","12"
"1293.0","40.8","13"
"1294.0","48.4","6"
"1295.0","75.6","8"
"1296.0","37.7","15"
"1297.0","34.1","4"
"1298.0","40.9","3"
"1299.0","42.7","13"
"1301.0","41.4","13"
"1302.0","39.1","7"
"1303.0","33.3","5"
"1304.0","37.9","8"
"1305.0","45.5","8"
"1306.0","49.7","6"
"1307.0","41.7","5"
"1308.0","50.5","16"
"1309.0","40.5","18"
"1311.0","41.3","10"
"1312.0","39.6","11"
"1313.0","38.1","8"
"1314.0","41.5","12"
"1315.0","46.4","10"
"1316.0","35.8","9"
"1317.0","35.2","8"
"1318.0","40.7","11"
"1319.0","38.2","12"
"1321.0","46.9","17"
"1322.0","45.5","5"
"1323.0","39.4","5"
"1324.0","38.2","9"
"1325.0","36.2","6"
"1326.0","37.0","9"
"1327.0","30.5","11"
"1328.0","40.8","1"
"1329.0","42.8","13"
"1331.0","41.6","9"
"1332.0","43.3","9"
"1333.0","34.1","14"
"1334.0","27.1","7"
"1335.0","45.0","6"
"1336.0","48.2","3"
"1337.0","52.7","10"
"1338.0","42.6","9"
"1339.0","32.4","6"
"1341.0","41.5","9"
"1342.0","43.6","7"
"1343.0","37.4","7"
"1344.0","31.3","7"
"1345.0","46.5","13"
"1346.0","56.7","11"
"1347.0","36.5","8"
"1348.0","41.4","7"
"1349.0","37.4","9"
"1351.0","57.4","5"
"1352.0","39.1","8"
"1353.0","34.7","6"
"1354.0","40.2","4"
"1355.0","38.7","8"
"1356.0","35.8","12"
"1357.0","30.6","6"
"1358.0","46.9","12"
"1359.0","52.4","14"
"1361.0","51.3","11"
"1362.0","38.8","9"
"1363.0","41.0","14"
"1364.0","43.0","5"
"1365.0","41.2","4"
"1366.0","42.0","14"
"1367.0","36.8","11"
"1368.0","41.3","9"
"1369.0","36.9","8"
"1371.0","31.5","8"
"1372.0","43.0","3"
"1373.0","61.1","8"
"1374.0","47.3","10"
"1375.0","49.6","5"
"1376.0","52.8","8"
"1377.0","37.3","6"
"1378.0","35.0","16"
"1379.0","37.0","13"
"1381.0","39.1","12"
"1382.0","35.5","4"
"1383.0","43.0","4"
"1384.0","41.7","4"
"1385.0","33.6","2"
"1386.0","33.8","7"
"1387.0","29.3","4"
"1388.0","49.0","5"
"1389.0","47.9","3"
"1391.0","66.3","4"
"1392.0","41.2","5"
"1393.0","59.8","3"
"1394.0","34.4","8"
"1395.0","32.7","7"
"1396.0","38.5","2"
"1397.0","35.5","2"
"1398.0","28.7","5"
"1399.0","40.9","6"
"1401.0","37.0","8"
"1402.0","35.5","7"
"1403.0","26.9","4"
"1404.0","55.7","5"
"1405.0","43.0","8"
"1406.0","45.2","3"
"1407.0","49.3","10"
"1408.0","61.1","3"
"1409.0","44.7","8"
"1411.0","44.5","6"
"1412.0","45.8","10"
"1413.0","59.7","3"
"1414.0","39.4","5"
"1415.0","44.4","4"
"1416.0","39.8","4"
"1417.0","25.5","3"
"1418.0","34.7","1"
"1419.0","64.5","3"
"1421.0","38.1","3"
"1422.0","34.3","6"
"1423.0","46.2","2"
"1424.0","46.7","7"
"1425.0","51.6","2"
"1426.0","46.5","7"
"1427.0","46.0","2"
"1428.0","42.5","4"
"1429.0","55.5","14"
"1431.0","95.9","4"
"1432.0","140.9","4"
"1433.0","74.3","12"
"1434.0","37.8","5"
"1435.0","38.5","3"
"1436.0","47.9","4"
"1437.0","36.5","12"
"1438.0","42.9","6"
"1439.0","39.7","4"
"1441.0","39.3","3"
"1442.0","46.5","3"
"1443.0","43.3","5"
"1444.0","44.8","2"
"1445.0","37.7","4"
"1446.0","30.1","5"
"1447.0","50.8","7"
"1448.0","57.7","9"
"1449.0","51.9","7"
"1451.0","38.4","3"
"1452.0","45.5","5"
"1453.0","37.7","4"
"1454.0","43.8","5"
"1455.0","42.4","4"
"1456.0","51.4","2"
"1457.0","33.9","12"
"1458.0","63.7","5"
"1459.0","84.8","1"
"1461.0","31.4","3"
"1462.0","37.2","1"
"1463.0","48.1","7"
"1464.0","92.1","3"
"1465.0","47.5","5"
"1466.0","62.7","5"
"1467.0","30.0","3"
"1468.0","51.0","12"
"1469.0","37.7","6"
"1471.0","45.7","7"
"1472.0","51.6","5"
"1473.0","52.6","4"
"1474.0","43.0","9"
"1475.0","41.8","4"
"1476.0","38.9","5"
"1477.0","46.6","6"
"1478.0","33.7","2"
"1479.0","43.1","5"
"1481.0","41.0","6"
"1482.0","54.4","2"
"1483.0","54.9","4"
"1484.0","44.2","4"
"1485.0","37.5","1"
"1486.0","67.2","1"
"1487.0","37.0","3"
"1488.0","65.0","6"
"1489.0","45.3","4"
"1491.0","54.1","9"
"1492.0","43.8","14"
"1493.0","32.2","3"
"1494.0","28.8","5"
"1495.0","40.0","7"
"1496.0","42.6","3"
"1497.0","45.6","6"
"1498.0","82.1","5"
"1499.0","38.3","11"
"1501.0","35.4","3"
"1502.0","43.8","2"
"1503.0","68.7","6"
"1504.0","43.0","7"
"1505.0","46.8","4"
"1506.0","57.4","3"
"1507.0","45.2","5"
"1508.0","68.2","2"
"1511.0","60.1","5"
"1512.0","56.8","5"
"1513.0","46.4","2"
"1514.0","36.3","3"
"1515.0","32.2","4"
"1516.0","49.4","8"
"1517.0","60.7","1"
"1518.0","35.4","3"
"1519.0","34.0","2"
"1521.0","43.3","5"
"1522.0","49.6","3"
"1525.0","44.1","3"
"1526.0","67.6","4"
"1527.0","36.7","3"
"1528.0","33.7","2"
"1529.0","31.2","2"
"1531.0","47.5","3"
"1532.0","41.3","7"
"1533.0","50.2","5"
"1534.0","38.3","3"
"1536.0","68.8","6"
"1537.0","58.3","4"
"1538.0","42.7","3"
"1541.0","61.4","5"
"1542.0","59.0","7"
"1543.0","32.5","3"
"1544.0","68.0","12"
"1545.0","43.5","7"
"1546.0","40.8","4"
"1547.0","30.5","1"
"1548.0","106.5","3"
"1549.0","45.7","3"
"1551.0","73.1","5"
"1553.0","36.7","5"
"1554.0","41.8","7"
"1555.0","67.3","1"
"1556.0","46.8","3"
"1557.0","39.6","2"
"1558.0","49.3","5"
"1559.0","29.4","2"
"1561.0","66.8","4"
"1562.0","49.6","8"
"1563.0","47.1","1"
"1564.0","53.7","3"
"1565.0","43.1","2"
"1566.0","44.9","2"
"1567.0","36.7","3"
"1568.0","28.1","1"
"1569.0","41.1","1"
"1572.0","40.7","3"
"1573.0","40.0","2"
"1574.0","31.2","1"
"1575.0","43.5","2"
"1577.0","58.0","4"
"1578.0","39.8","3"
"1581.0","41.8","2"
"1582.0","35.5","4"
"1583.0","63.5","3"
"1584.0","33.1","2"
"1585.0","45.4","3"
"1587.0","59.6","2"
"1588.0","43.2","4"
"1589.0","40.3","1"
"1591.0","32.0","2"
"1592.0","36.8","2"
"1593.0","42.1","1"
"1594.0","76.5","2"
"1595.0","57.0","10"
"1596.0","33.6","2"
"1597.0","48.3","2"
"1598.0","41.4","2"
"1599.0","37.6","2"
"1601.0","46.0","3"
"1602.0","34.5","2"
"1603.0","38.2","1"
"1604.0","56.3","5"
"1605.0","32.2","4"
"1606.0","35.3","2"
"1607.0","39.1","2"
"1609.0","95.1","4"
"1611.0","40.8","4"
"1612.0","40.7","1"
"1613.0","92.6","3"
"1614.0","40.4","4"
"1615.0","52.7","6"
"1616.0","50.1","3"
"1617.0","42.7","6"
"1618.0","52.0","1"
"1621.0","67.3","2"
"1623.0","26.7","1"
"1624.0","40.7","2"
"1625.0","36.3","1"
"1626.0","37.2","7"
"1627.0","39.2","5"
"1628.0","37.8","4"
"1629.0","23.1","1"
"1631.0","27.4","1"
"1632.0","88.2","2"
"1633.0","68.9","4"
"1635.0","63.0","4"
"1637.0","77.8","2"
"1638.0","73.5","5"
"1641.0","48.5","5"
"1642.0","57.1","2"
"1643.0","51.6","1"
"1644.0","30.1","1"
"1645.0","38.8","2"
"1647.0","69.6","2"
"1649.0","71.6","3"
"1651.0","105.3","7"
"1652.0","44.2","2"
"1654.0","40.0","1"
"1655.0","37.4","1"
"1656.0","47.5","5"
"1657.0","34.9","3"
"1658.0","95.6","2"
"1659.0","37.2","3"
"1661.0","37.2","1"
"1662.0","76.3","5"
"1664.0","33.9","1"
"1666.0","42.2","3"
"1668.0","28.8","1"
"1669.0","38.8","3"
"1672.0","55.0","2"
"1673.0","54.4","8"
"1674.0","45.5","4"
"1675.0","65.0","1"
"1676.0","28.4","1"
"1677.0","93.7","2"
"1678.0","39.9","1"
"1679.0","47.1","2"
"1681.0","44.1","5"
"1683.0","60.3","2"
"1684.0","63.4","4"
"1685.0","36.4","3"
"1686.0","35.0","1"
"1687.0","59.8","5"
"1688.0","56.7","8"
"1691.0","58.5","1"
"1692.0","25.5","1"
"1693.0","38.9","2"
"1694.0","34.4","2"
"1696.0","61.7","7"
"1697.0","85.4","6"
"1701.0","47.4","1"
"1702.0","42.5","5"
"1703.0","42.4","3"
"1706.0","49.9","1"
"1707.0","43.0","2"
"1708.0","55.3","5"
"1709.0","51.3","1"
"1711.0","54.4","2"
"1712.0","80.8","3"
"1713.0","71.2","3"
"1714.0","56.2","3"
"1715.0","33.3","3"
"1716.0","27.1","1"
"1721.0","25.7","1"
"1722.0","91.2","3"
"1723.0","49.2","2"
"1724.0","98.8","1"
"1725.0","32.7","1"
"1728.0","58.5","3"
"1731.0","64.4","2"
"1733.0","40.8","1"
"1736.0","31.3","1"
"1738.0","49.8","2"
"1739.0","32.0","1"
"1741.0","55.6","2"
"1743.0","72.2","3"
"1745.0","55.5","3"
"1753.0","43.4","2"
"1757.0","98.4","4"
"1758.0","29.4","2"
"1759.0","51.3","8"
"1762.0","53.0","1"
"1764.0","79.6","3"
"1765.0","85.2","2"
"1766.0","46.1","3"
"1769.0","27.8","1"
"1771.0","37.8","1"
"1772.0","39.7","1"
"1773.0","55.6","4"
"1775.0","85.0","1"
"1776.0","52.6","2"
"1777.0","45.6","2"
"1781.0","41.2","1"
"1783.0","50.8","3"
"1785.0","40.6","1"
"1786.0","34.8","3"
"1788.0","50.1","2"
"1791.0","42.7","3"
"1796.0","68.8","5"
"1797.0","52.9","1"
"1801.0","28.3","1"
"1802.0","26.8","2"
"1805.0","41.7","2"
"1809.0","33.4","3"
"1811.0","53.6","2"
"1812.0","39.0","1"
"1813.0","63.7","3"
"1814.0","35.5","2"
"1815.0","36.5","1"
"1817.0","72.6","5"
"1818.0","54.6","4"
"1819.0","52.2","5"
"1824.0","63.6","4"
"1827.0","36.8","2"
"1828.0","47.4","2"
"1831.0","77.6","5"
"1834.0","42.8","3"
"1835.0","56.1","2"
"1841.0","33.8","1"
"1846.0","37.2","2"
"1852.0","53.7","1"
"1854.0","46.6","1"
"1855.0","29.8","1"
"1856.0","61.3","2"
"1857.0","62.4","1"
"1858.0","48.8","1"
"1859.0","39.0","2"
"1862.0","116.3","3"
"1864.0","29.6","2"
"1866.0","75.6","1"
"1869.0","38.2","1"
"1871.0","58.9","3"
"1873.0","46.9","1"
"1876.0","46.8","2"
"1881.0","41.3","1"
"1885.0","59.2","3"
"1888.0","41.1","1"
"1889.0","79.5","4"
"1891.0","29.7","1"
"1893.0","29.6","1"
"1896.0","40.9","1"
"1898.0","54.7","2"
"1901.0","43.6","1"
"1902.0","39.8","1"
"1904.0","43.2","1"
"1905.0","51.4","1"
"1906.0","66.7","3"
"1907.0","48.1","2"
"1911.0","33.1","3"
"1913.0","65.1","1"
"1914.0","57.7","1"
"1916.0","62.0","1"
"1921.0","78.3","2"
"1922.0","83.0","3"
"1923.0","48.4","2"
"1925.0","55.1","2"
"1928.0","41.5","2"
"1931.0","36.0","1"
"1933.0","32.0","1"
"1939.0","45.0","1"
"1941.0","40.9","2"
"1945.0","45.7","1"
"1946.0","17.6","1"
"1952.0","121.9","2"
"1953.0","67.5","9"
"1955.0","35.0","1"
"1962.0","47.3","4"
"1965.0","56.6","3"
"1971.0","26.7","1"
"1973.0","47.8","3"
"1978.0","73.4","1"
"1979.0","40.3","1"
"1981.0","30.0","2"
"1983.0","25.8","1"
"1987.0","68.0","3"
"1991.0","65.9","3"
"1992.0","67.0","1"
"1993.0","38.3","2"
"1994.0","33.9","1"
"1996.0","68.4","5"
"1997.0","37.9","2"
"1999.0","71.1","3"
"2001.0","44.5","1"
"2004.0","28.5","1"
"2006.0","39.9","2"
"2007.0","94.7","3"
"2012.0","53.7","1"
"2013.0","122.0","3"
"2014.0","65.9","1"
"2019.0","51.4","2"
"2029.0","63.9","3"
"2031.0","59.1","2"
"2032.0","49.7","1"
"2033.0","70.9","2"
"2034.0","44.7","2"
"2036.0","48.1","3"
"2045.0","40.7","2"
"2047.0","75.9","4"
"2049.0","31.5","1"
"2054.0","49.5","1"
"2058.0","113.7","2"
"2059.0","51.3","3"
"2064.0","58.8","2"
"2067.0","70.3","7"
"2068.0","54.5","3"
"2069.0","57.1","1"
"2072.0","41.7","1"
"2073.0","65.4","2"
"2074.0","79.5","3"
"2076.0","31.7","2"
"2101.0","49.3","1"
"2102.0","71.2","4"
"2106.0","37.8","2"
"2107.0","32.0","1"
"2109.0","35.9","1"
"2122.0","60.8","2"
"2124.0","38.2","1"
"2126.0","30.9","1"
"2129.0","67.8","2"
"2131.0","49.5","4"
"2133.0","107.2","3"
"2134.0","62.3","3"
"2136.0","73.5","2"
"2139.0","51.0","3"
"2141.0","81.2","3"
"2143.0","45.5","2"
"2145.0","60.9","4"
"2148.0","90.0","3"
"2149.0","53.3","1"
"2151.0","42.0","1"
"2162.0","43.2","1"
"2163.0","64.4","2"
"2169.0","50.8","3"
"2171.0","66.8","3"
"2173.0","42.4","1"
"2176.0","71.2","2"
"2181.0","88.5","2"
"2183.0","96.3","3"
"2186.0","33.2","3"
"2198.0","37.3","2"
"2202.0","50.9","1"
"2205.0","53.8","1"
"2208.0","60.0","5"
"2211.0","69.0","3"
"2217.0","32.4","1"
"2218.0","86.7","3"
"2222.0","60.3","1"
"2224.0","41.9","1"
"2227.0","26.1","1"
"2231.0","32.7","1"
"2232.0","77.3","3"
"2236.0","76.9","1"
"2237.0","31.7","1"
"2238.0","40.6","1"
"2239.0","67.3","3"
"2242.0","89.8","3"
"2246.0","61.7","2"
"2249.0","54.1","1"
"2252.0","68.4","3"
"2253.0","56.1","1"
"2259.0","38.9","1"
"2262.0","42.6","2"
"2269.0","38.9","1"
"2271.0","63.3","1"
"2282.0","43.4","1"
"2286.0","52.9","3"
"2288.0","63.7","2"
"2291.0","45.3","2"
"2294.0","50.9","2"
"2301.0","94.8","2"
"2302.0","76.4","2"
"2322.0","44.3","2"
"2327.0","54.2","1"
"2331.0","50.2","2"
"2332.0","70.3","3"
"2334.0","42.8","2"
"2357.0","52.9","1"
"2359.0","54.7","2"
"2363.0","56.8","2"
"2372.0","33.3","1"
"2378.0","55.0","2"
"2389.0","53.2","3"
"2397.0","72.3","2"
"2404.0","53.6","2"
"2413.0","46.3","2"
"2435.0","97.1","2"
"2447.0","103.0","2"
"2455.0","81.7","2"
"2461.0","49.9","2"
"2472.0","39.4","2"
"2476.0","69.7","2"
"2479.0","36.5","1"
"2482.0","49.4","1"
"2523.0","76.9","2"
"2537.0","99.9","1"
"2539.0","124.1","2"
"2543.0","58.3","2"
"2548.0","47.4","2"
"2605.0","58.2","2"
"2624.0","47.5","1"
"2626.0","54.8","3"
"2631.0","76.5","3"
"2707.0","60.2","1"
"2714.0","64.0","2"
"2747.0","60.6","3"
"2809.0","90.0","3"
"2824.0","51.0","1"
"2859.0","49.7","2"
"2886.0","39.3","2"
"2928.0","98.1","2"
"2965.0","21.7","1"
"3066.0","236.6","1"
"3119.0","44.3","2"
"3125.0","42.8","1"
"3526.0","53.7","1"
